Year,Status,Award,Media,Media2,Name,Url,Error
2001,Finalist,,HeraldNet,,Waterfront Renaissance,http://waterfront.heraldnet.com/,200
2001,Finalist,,Jerusalem Post,,Israel Decides – Election 2001 Live Coverage,http://www.jpost.com/Elections/,301
2001,Finalist,,KRWashington.com,,A Taste of Slavery,http://www.krwashington.com/content/krwashington/slavery/slavery.htm,301
2001,Finalist,,TIME,,The New Frontier,http://www.time.com/time/covers/1101010611/index.html,200
2001,Finalist,,Mother Jones,,Mother Jones 400,http://motherjones.com/web_exclusives/special_reports/mojo_400/,timeout
2001,Finalist,,MSNBC,,Suviving the Summer Driving Season,http://www.msnbc.com/news/summerdriving_front.asp,200
2001,Finalist,,MSNBC,,,http://www.msnbc.com,200
2001,Finalist,,New Tools,,Online Investing — New Times,http://public.wsj.com/ona/online/online2001.htm,200
2001,Finalist,,New York Times,,Salsa — Made in New York,http://www.nytimes.com/library/music/102400salsa-intro.html,200
2001,Finalist,,New York Times,,,http://www.nytimes.com,200
2001,Finalist,,ParentCenter,,Parenting,http://www.parentcenter.com/parenting/,200
2001,Finalist,,PraxisPost,,,http://www.praxispost.com,200
2001,Finalist,,Princeton Alumni Weekly Online,,Kate Swearengen,http://www.princeton.edu/%7Epaw/kates_column/kate_01.html,200
2001,Finalist,,Providence Journal,,Rescuing the Right,http://www.projo.com/specials/rightwhales/,200
2001,Finalist,,Salon,,Gov. Bush’s Office Ignored Murder Confession,http://www.salon.com/politics/feature/2000/10/13/texas/index.html,200
2001,Finalist,,Salon,,Living Under the Hole in the Sky,http://www.salon.com/health/feature/2000/11/03/ozone/,200
2001,Finalist,,Salon,,Bad Blood,http://www.salon.com/news/feature/2000/08/09/warren_cover/index.html,200
2001,Finalist,,Salon,,Steve Kettmann,http://www.salon.com/politics/feature/2001/06/16/europe/index.html,200
2001,Finalist,,Salon,,,http://www.salon.com,200
2001,Finalist,,San Francisco Chronicle,,California’s Energy Crisis,http://www.sfgate.com/energy/,200
2001,Finalist,,Slashdot,,EFF Files First Anti-DMCA Lawsuit,http://slashdot.org/article.pl?sid=01/06/06/131232&mode=thread,200
2001,Finalist,,Slate,,Seed — The Genius Babies &amp; How They Grew,http://slate.msn.com/seed/entries/01-02-07_100331.asp,200
2001,Finalist,,SportsJones,,Being John McEnroe,http://sportsjones.com/sj/323.shtml,200
2001,Finalist,,TaxPlanet.com,,Guide to Tax Relief Act of 2001,http://www.taxplanet.com/prez/prez.html,200
2001,Finalist,,TBO.com,,Crime Tracker,http://crimetracker.tbo.com,timeout
2001,Finalist,,Philadelphia Inquirer,,Killing Pablo,http://www.killingpablo.com,301
2001,Finalist,,Wall Street Journal,,,http://wsj.com,200
2001,Finalist,,USA TODAY,,Cal Ripken Retirement Announcement,http://www.usatoday.com/sports/baseball/ripken/2001-06-20-cover.htm,200
2001,Finalist,,USA TODAY,,Census 2000,http://www.usatoday.com/news/census/index.htm,200
2001,Finalist,,Washington Post,,Camera Works — U Street in Focus,http://www.washingtonpost.com/wp-srv/photo/blackhistory/,200
2001,Finalist,,Washington Post,,,http://www.washingtonpost.com,200
2001,Finalist,,WebMD,,Jeff’s Story,http://my.webmd.com/special_event_article/article/1728.72533,timeout
2001,Finalist,,Wired,,Kozmo Kills the Messenger,"http://www.wired.com/news/business/0,1367,43025,00.html",200
2001,Finalist,,ZDNET,,Dave Coursey,"http://www.zdnet.com/anchordesk/stories/story/0,10738,2675486,00.html",200
2001,Winner,Creative Use of the Medium Independent,360Degrees,,The U.S. Criminal Justice System,http://www.360degrees.org/,200
2001,Winner,Breaking News Affiliated,BBC News,,Concorde Crash,http://news.bbc.co.uk/hi/english/world/europe/newsid_851000/851209.stm,verified
2001,Winner,General Excellence in Online Journalism Affiliated,BBC News,,,http://news.bbc.co.uk,verified
2001,Winner,Enterprise Journalism Affiliated,CNN,,Colombia: War Without End,http://www.cnn.com/SPECIALS/2000/colombia.noframes/,200
2001,Winner,Feature Journalism Independent,DigitalJournalist.org,,20 Years — AIDS &amp; Photography,http://digitaljournalist.org/issue0106/visions_frameset.htm,verified
